Time(h),Mean_Dev_TimeSlots,Std_Dev_TimeSlots,Mean_Dev_Vehicles,Std_Dev_Vehicles
0,0.7324665090622537,1.3048591915274461,232.15543735224585,2011.9915548081635
1,0.8408195429472025,1.3646862049146775,242.59535066981874,2395.1881952596636
2,0.7612293144208038,1.3270099708673355,197.09613869188337,1669.9377482277403
3,0.7425137903861309,1.3081596325067923,184.40287628053585,1308.2720236134016
4,0.7306934594168637,1.286780237811474,187.52935382190702,1559.1528402692272
5,0.7854609929078015,1.324093800859481,190.1241134751773,1314.2399924083463
6,0.7901891252955082,1.357896630146733,201.7352245862884,1327.0747404921153
7,0.8520488573680063,1.3809386184990737,212.9131205673759,1257.1950294750434
8,0.8087076438140268,1.3658314291800637,224.5212765957447,1312.2391734308464
9,0.8087076438140268,1.3695764965039694,275.4879826635146,1805.0336509716542
10,0.7444838455476753,1.3487287558405627,296.13179669030734,2258.81760219235
11,0.682033096926714,1.2817136488113074,242.57722616233255,2061.57329180787
12,0.6063829787234043,1.2316064512042888,208.07505910165486,1752.5501425207058
13,0.5439322301024428,1.1724109776564635,197.2535460992908,1660.787566711271
14,0.423364854215918,1.057934571317494,151.0973207249803,1657.6319478496512
15,0.3203309692671395,0.917729004448006,85.5908195429472,1262.409970975046
16,0.26595744680851063,0.8233392969329335,54.571513002364064,821.4884474626376
17,0.22655634357762017,0.7568260687648413,47.73167848699764,666.0347265742063
18,0.20961386918833727,0.7478588879653885,43.068557919621746,572.7072658183133
19,0.1871552403467297,0.7049026951486135,32.25354609929078,396.18506450410894
20,0.18853427895981087,0.6830972744308114,31.39558707643814,424.66300635206926
21,0.24743892828999212,0.761724318481166,34.227738376674544,416.28815922142945
22,0.36505122143420016,0.9428675564759093,62.693459416863675,537.769921417307
23,0.5886524822695035,1.1683630341070508,142.05870764381402,909.9288808821382
